,question,answer
830,it seems fine to me.,i toss and turn all night.
831,i toss and turn all night.,you should stop drinking coffee.
832,you should stop drinking coffee.,look at these marks on my arms.
833,look at these marks on my arms.,what are they?
834,what are they?,they are bites.
835,they are bites.,did the cat bite you?
836,did the cat bite you?,no. the bedbugs in that mattress bit me.
837,no. the bedbugs in that mattress bit me.,okay. let's get a new mattress.
838,my laptop is so slow.,buy a new one.
839,buy a new one.,i would if i had the money.
840,i would if i had the money.,why is it so slow?
841,why is it so slow?,that's a good question.
842,that's a good question.,did you take it to a computer shop?
843,did you take it to a computer shop?,i would if i had the money.
844,i would if i had the money.,"well, i guess you have to live with it."
845,"well, i guess you have to live with it.",sometimes i want to throw it out the window.
846,sometimes i want to throw it out the window.,you don't want to do that.
847,you don't want to do that.,why not?
848,why not?,you might hit someone in the head.
849,what's for dinner?,i'm not sure.
850,i'm not sure.,how about a pizza?
851,how about a pizza?,you had pizza for lunch.
852,you had pizza for lunch.,but i love pizza.
853,but i love pizza.,everybody loves pizza.
854,everybody loves pizza.,so why can't i have pizza for dinner?
855,so why can't i have pizza for dinner?,because you need variety.
856,because you need variety.,"what's ""variety?"
857,"what's ""variety?",different thingsÂ—not the same thing all the time.
858,different thingsÂ—not the same thing all the time.,"you mean, like a pepperoni pizza instead of a cheese pizza?"
859,"you mean, like a pepperoni pizza instead of a cheese pizza?","no, i mean a salad instead of a pizza."
860,we need to save money.,why do we need to save money?
861,why do we need to save money?,because we need to buy a house.
862,because we need to buy a house.,but a house is so expensive.
863,but a house is so expensive.,that's why we need to save money.
864,that's why we need to save money.,how much do we need to save?
865,how much do we need to save?,we need to save enough for a down payment.
866,we need to save enough for a down payment.,how much is that?
867,how much is that?,"that's about $30,000."
868,"that's about $30,000.",thirty thousand dollars! that will take forever.
869,thirty thousand dollars! that will take forever.,not if we save every penny.
870,not if we save every penny.,okay. here's seven pennies.
871,the ocean is so big.,you can't see the end of it.
872,you can't see the end of it.,it goes on and on forever.
873,it goes on and on forever.,"and it's deep, too."
874,"and it's deep, too.",i think it's five miles deep.
875,i think it's five miles deep.,are there fish at the bottom?
876,are there fish at the bottom?,there are fish at the top and the bottom.
877,there are fish at the top and the bottom.,are there more fish or more people?
878,are there more fish or more people?,i think there are more fish.
879,i think there are more fish.,i hope so. i love to eat fish.
880,i'm upset with my mom.,why is that?
881,why is that?,i warned her about her new boyfriend. she didn't listen to me.
882,i warned her about her new boyfriend. she didn't listen to me.,what happened?
883,what happened?,"i gave her $1,000 for her birthday. i told her to spend it on herself."
884,"i gave her $1,000 for her birthday. i told her to spend it on herself.",that was very nice of you.
885,that was very nice of you.,i found out that she gave it to her new boyfriend.
886,i found out that she gave it to her new boyfriend.,why did she do that?
887,why did she do that?,he said he would buy her a nice ring.
888,he said he would buy her a nice ring.,what's wrong with that?
889,what's wrong with that?,he went to las vegas. he lost it all gambling.
890,he went to las vegas. he lost it all gambling.,i hope your mom broke up with him.
891,do animals talk to each other?,of course they talk to each other.
892,of course they talk to each other.,what do they talk about?
893,what do they talk about?,they talk about other animals.
894,they talk about other animals.,what else do they talk about?
895,what else do they talk about?,they talk about food and the weather.
896,they talk about food and the weather.,do they talk about us?
897,do they talk about us?,of course they talk about us.
898,of course they talk about us.,what do they say about us?
899,what do they say about us?,they say that we are funny-looking.
900,they say that we are funny-looking.,ha! we're not funny-looking; animals are funny-looking.
901,ha! we're not funny-looking; animals are funny-looking.,we're funny-looking because we wear clothes.
902,i have to clean the house.,"yes, it's very dirty."
903,"yes, it's very dirty.",you can help me.
904,you can help me.,why me?
905,why me?,because you helped make it dirty.
906,because you helped make it dirty.,what do you want me to do?
907,what do you want me to do?,i want you to clean the bathroom.
908,i want you to clean the bathroom.,"oh, that's easy."
909,"oh, that's easy.","clean the sink, the tub, the counter, and the toilet."
910,"clean the sink, the tub, the counter, and the toilet.",that's a lot of work.
911,that's a lot of work.,tell me when you finish.
912,tell me when you finish.,i don't think so. you'll just give me more work.
913,you're watching too much tv.,what do you mean?
914,what do you mean?,i mean you're wasting your life.
915,i mean you're wasting your life.,i'm having fun.
916,i'm having fun.,you're sitting there with your mouth open.
917,you're sitting there with your mouth open.,who cares?
918,who cares?,i care. do something.
919,i care. do something.,okay. i did something.
920,okay. i did something.,what did you do?
921,what did you do?,i turned up the volume.
922,i turned up the volume.,"that's not what i meant by ""do something."""
923,"that's not what i meant by ""do something.""",will you do something? leave me alone.
924,did you write a letter to grandma?,"yes, i did."
925,"yes, i did.",did you tell her about school?
926,did you tell her about school?,i told her that school is fun.
927,i told her that school is fun.,did you put the letter in an envelope?
928,did you put the letter in an envelope?,"yes, and i sealed the envelope."
929,"yes, and i sealed the envelope.",did you put a stamp on the envelope?
930,did you put a stamp on the envelope?,i couldn't find any stamps.
931,i couldn't find any stamps.,they're in the kitchen drawer.
932,they're in the kitchen drawer.,okay. i just put a stamp on the envelope.
933,okay. i just put a stamp on the envelope.,"give me the envelope, and i'll mail it for you."
934,"give me the envelope, and i'll mail it for you.",when is grandma going to learn about e-mail?
935,why are you yawning?,i'm sleepy.
936,i'm sleepy.,why don't you go to bed?
937,why don't you go to bed?,i want to watch this tv show.
938,i want to watch this tv show.,maybe you should record it.
939,maybe you should record it.,the tape recorder is broken.
940,the tape recorder is broken.,then you should watch the rerun.
941,then you should watch the rerun.,why? i'm watching the original.
942,why? i'm watching the original.,but you'll be asleep in about one minute.
943,but you'll be asleep in about one minute.,i'm just yawning because the commercials are on.
944,i'm just yawning because the commercials are on.,okay. i'll tell you how the show ends.
945,okay. i'll tell you how the show ends.,zzz.
946,it's sunday.,so?
947,so?,you know what that means.
948,you know what that means.,i forgot.
949,i forgot.,sunday means we go to church.
950,sunday means we go to church.,"oh, yeah."
951,"oh, yeah.",put on a coat and tie.
952,put on a coat and tie.,why?
953,why?,to show respect to god and others.
954,to show respect to god and others.,i'm glad sunday is only once a week.
955,i'm glad sunday is only once a week.,i hope god didn't hear that.
956,i hope god didn't hear that.,he'll forgive me.
957,did you feed the cat?,i'll do that in a minute.
958,i'll do that in a minute.,the cat is meowing. he's hungry.
959,the cat is meowing. he's hungry.,okay. i'll feed him right now.
960,okay. i'll feed him right now.,you shouldn't make him wait.
961,you shouldn't make him wait.,i was doing my homework.
962,i was doing my homework.,the cat doesn't care about your homework.
963,the cat doesn't care about your homework.,the cat doesn't care about anything.
964,the cat doesn't care about anything.,that's the way cats are.
965,that's the way cats are.,all they think about is themselves.
966,all they think about is themselves.,maybe we should get rid of him.
967,maybe we should get rid of him.,of course not! he's family.
968,i hate shaving.,me too.
969,me too.,i just cut myself again.
970,i just cut myself again.,did you use a new blade?
971,did you use a new blade?,"it doesn't matter. old blades cut, new blades cut."
972,"it doesn't matter. old blades cut, new blades cut.",maybe you should use an electric shaver.
973,maybe you should use an electric shaver.,"they make a lot of noise, but they don't give a close shave."
974,"they make a lot of noise, but they don't give a close shave.",maybe you should stop shaving.
975,maybe you should stop shaving.,and grow a beard?
976,and grow a beard?,sure. why not?
977,sure. why not?,because food and other stuff sticks in my beard.
978,because food and other stuff sticks in my beard.,hmm. here's an idea. put cream on your face and have the cat lick it off.
979,excuse me.,yes?
980,yes?,are you reading this paper?
981,are you reading this paper?,"oh, no. help yourself."
982,"oh, no. help yourself.",i asked because the paper is sitting next to you.
983,i asked because the paper is sitting next to you.,thank you. that's polite of you to ask.
984,thank you. that's polite of you to ask.,some people would just pick it up.
985,some people would just pick it up.,"yes, i know. some people are rude."
986,"yes, i know. some people are rude.",i always try to be polite.
987,i always try to be polite.,so do i.
988,so do i.,the world needs more polite people like us.
989,the world needs more polite people like us.,i agree 100 percent.
990,"mom, i want a puppy.",let me think about it.
991,let me think about it.,why do you have to think about it?
992,why do you have to think about it?,because a puppy costs money.
993,because a puppy costs money.,"no, it doesn't. puppies are free."
994,"no, it doesn't. puppies are free.","yes, but a puppy needs shots."
995,"yes, but a puppy needs shots.",shots for what?
996,shots for what?,so it won't get sick. just like you get shots.
997,so it won't get sick. just like you get shots.,i hate shots.
998,i hate shots.,and a puppy eats food. food costs money.
999,and a puppy eats food. food costs money.,no problem. i'll give him food off my plate.
1000,no problem. i'll give him food off my plate.,"oh, no you don't. puppies don't eat vegetables."
1001,look at all these kittens!,how many are there?
1002,how many are there?,eight.
1003,eight.,they're all so cute.
1004,they're all so cute.,"yes, but i can't keep them."
1005,"yes, but i can't keep them.",what are you going to do with them?
1006,what are you going to do with them?,i'm going to give them away. do you want one?
1007,i'm going to give them away. do you want one?,"yes, i would love one."
1008,"yes, i would love one.",which one do you want?
1009,which one do you want?,that one. the one that's all black.
1010,that one. the one that's all black.,"yes, i like that one, too."
1011,"yes, i like that one, too.",i'll call him blacky.
1012,my parents go to church every sunday.,they trust in god.
1013,they trust in god.,they hope they will go to heaven.
1014,they hope they will go to heaven.,they probably will.
1015,they probably will.,but no one knows for sure.
1016,but no one knows for sure.,that's for sure.
1017,that's for sure.,no one knows what happens after we die.
1018,no one knows what happens after we die.,"if we are good, we will be happy in heaven with god."
1019,"if we are good, we will be happy in heaven with god.",that's what many people believe.
1020,that's what many people believe.,"if we are bad, we will be unhappy forever in hell."
1021,"if we are bad, we will be unhappy forever in hell.",i don't want to go to hell.
1022,i don't want to go to hell.,let's go to church with your parents on sunday.
1023,my husband died.,i'm sorry for you.
1024,i'm sorry for you.,thank you.
1025,thank you.,when did he die?
1026,when did he die?,a couple of months ago.
1027,a couple of months ago.,you still miss him.
1028,you still miss him.,"yes, but i talk to him almost every day."
1029,"yes, but i talk to him almost every day.",when you go to church?
1030,when you go to church?,"no, when i call him on his cell phone."
1031,"no, when i call him on his cell phone.",what do you mean?
1032,what do you mean?,i buried him with his cell phone.
1033,i buried him with his cell phone.,what will you do when the battery dies?
1034,today is friday the thirteenth.,that's a bad day.
1035,that's a bad day.,it's supposed to be unlucky.
1036,it's supposed to be unlucky.,you're supposed to stay home all day.
1037,you're supposed to stay home all day.,that's what i do.
1038,that's what i do.,my friend stayed in a hotel on friday the thirteenth.
1039,my friend stayed in a hotel on friday the thirteenth.,that was a mistake.
1040,that was a mistake.,he stayed on the thirteenth floor.
1041,he stayed on the thirteenth floor.,what happened?
1042,what happened?,someone stole his laptop.
1043,someone stole his laptop.,he was asking for it.
1044,he was asking for it.,he learned his lesson. he's home today.
1045,do you really love me?,of course.
1046,of course.,prove it.
1047,prove it.,how can i prove it?
1048,how can i prove it?,take me to dinner.
1049,take me to dinner.,that's it? that's all i have to do?
1050,that's it? that's all i have to do?,"take me to a nice restaurant, not to mcdonald's."
1051,"take me to a nice restaurant, not to mcdonald's.",but a nice restaurant costs money.
1052,but a nice restaurant costs money.,"yes, and you have to make a reservation."
1053,"yes, and you have to make a reservation.",that's such a hassle.
1054,that's such a hassle.,i knew you didn't love me.
1055,i knew you didn't love me.,"okay, okay! i'll make a reservation right now."
1056,my parents are divorced.,so are mine.
1057,so are mine.,why did your parents get divorced?
1058,why did your parents get divorced?,my father found a new girlfriend.
1059,my father found a new girlfriend.,that's too bad.
1060,that's too bad.,my mother was hurt and angry.
1061,my mother was hurt and angry.,she had good reason. what did she do?
1062,she had good reason. what did she do?,she told him to drop his girlfriend.
1063,she told him to drop his girlfriend.,what did your father do?
1064,what did your father do?,he moved out of our house.
1065,he moved out of our house.,i guess he really liked his new girlfriend.
1066,i guess he really liked his new girlfriend.,"yes, but she left him a year later."
1067,my grandma's apartment smells funny.,so does mine.
1068,so does mine.,i think it's an old people's smell.
1069,i think it's an old people's smell.,really?
1070,really?,"yes. i think when you get old, you begin to smell."
1071,"yes. i think when you get old, you begin to smell.",like fruit that is too ripe?
1072,like fruit that is too ripe?,"yes, just like fruit that is too ripe."
1073,"yes, just like fruit that is too ripe.",but the smell is different.
1074,but the smell is different.,"yes, old people don't smell like fruit."
1075,"yes, old people don't smell like fruit.","no, they smell like a thrift shop."
1076,"no, they smell like a thrift shop.","yes, a thrift shop has that same smell."
1077,"yes, a thrift shop has that same smell.","yes, an old smell."
1078,the price of stamps goes up and up.,i think stamps used to cost a penny.
1079,i think stamps used to cost a penny.,that was a long time ago.
1080,that was a long time ago.,it was before i was born.
1081,it was before i was born.,now a stamp is 42 cents.
1082,now a stamp is 42 cents.,but in may it will be 44 cents.
1083,but in may it will be 44 cents.,have you ever lost a letter in the mail?
1084,have you ever lost a letter in the mail?,"no, i haven't."
1085,"no, i haven't.",neither have i.
1086,neither have i.,"so, they do a good job for the money."
1087,"so, they do a good job for the money.","yes, they do."
1088,"yes, they do.",maybe we shouldn't complain.
1089,a button came off my shirt.,what are you going to do?
1090,what are you going to do?,"first, i have to find the button."
1091,"first, i have to find the button.",where did you lose it?
1092,where did you lose it?,i have no idea.
1093,i have no idea.,a button is hard to find. did you look in your pant cuffs?
1094,a button is hard to find. did you look in your pant cuffs?,that's a good idea.
1095,that's a good idea.,i found a button in my pant cuffs one time.
1096,i found a button in my pant cuffs one time.,"let me look. no, it's not there."
1097,"let me look. no, it's not there.",many shirts come with an extra button.
1098,many shirts come with an extra button.,you're right. this one does have an extra button.
1099,you're right. this one does have an extra button.,now all you have to do is sew it on.
1100,i have to go to the bathroom.,you drink too much coffee.
1101,you drink too much coffee.,but i love coffee.
1102,but i love coffee.,"well, it's your life."
1103,"well, it's your life.",you eat too much chocolate.
1104,you eat too much chocolate.,i don't think so.
1105,i don't think so.,have you looked in the mirror?
1106,have you looked in the mirror?,do you think i'm getting fat?
1107,do you think i'm getting fat?,i didn't say that.
1108,i didn't say that.,what did you say?
1109,what did you say?,i said i have to go to the bathroom.
1110,i said i have to go to the bathroom.,that's what i thought you said.
1111,did you do the laundry?,"yes, i did."
1112,"yes, i did.",what did you wash?
1113,what did you wash?,i washed the sheets and towels.
1114,i washed the sheets and towels.,what about the pillowcases?
1115,what about the pillowcases?,"yes, i took them off the pillows and washed them."
1116,"yes, i took them off the pillows and washed them.",did you dry everything in the dryer?
1117,did you dry everything in the dryer?,"yes, i dried everything in the dryer."
1118,"yes, i dried everything in the dryer.",then what did you do?
1119,then what did you do?,i folded all the towels.
1120,i folded all the towels.,did you put the sheets on the beds?
1121,did you put the sheets on the beds?,"yes, and i put the pillowcases on the pillows."
1122,do you listen to the radio?,i listen day and night.
1123,i listen day and night.,what do you listen to?
1124,what do you listen to?,mostly talk radio.
1125,mostly talk radio.,what's that?
1126,what's that?,people talk about current events.
1127,people talk about current events.,what do they say?
1128,what do they say?,they say they want change.
1129,they say they want change.,what kind of change?
1130,what kind of change?,they want tax cuts.
1131,they want tax cuts.,why do they want tax cuts?
1132,why do they want tax cuts?,because tax cuts will save them money.
1133,"mom, i'm hungry.",look in the fridge.
1134,look in the fridge.,i'm looking. there's nothing to eat.
1135,i'm looking. there's nothing to eat.,are you sure?
1136,are you sure?,it's almost empty.
1137,it's almost empty.,i went to the market yesterday.
1138,i went to the market yesterday.,i don't see anything.
1139,i don't see anything.,i bought lots of oranges and apples.
1140,i bought lots of oranges and apples.,i don't want fruit. i want something tasty.
1141,i don't want fruit. i want something tasty.,eat the fruit. it's good for you.
1142,eat the fruit. it's good for you.,"next time you go to the market, let me go with you."
1143,"next time you go to the market, let me go with you.","no, thank you. all you want to eat are hot dogs and candy bars."
1144,what is there to eat?,i don't know. look in the fridge.
1145,i don't know. look in the fridge.,i think i'll make a sandwich.
1146,i think i'll make a sandwich.,what kind?
1147,what kind?,a ham sandwich.
1148,a ham sandwich.,the bread is in the cabinet.
1149,the bread is in the cabinet.,where's the mustard?
1150,where's the mustard?,"it's in the fridge, i think."
1151,"it's in the fridge, i think.","oh, yes, here it is. do you want a sandwich?"
1152,"oh, yes, here it is. do you want a sandwich?","yes, that sounds nice."
1153,"yes, that sounds nice.",how about some potato chips?
1154,how about some potato chips?,"yes. and a pickle, if we have any."
1155,"it's time for your bath, young lady.","but, mom, i'm not dirty."
1156,"but, mom, i'm not dirty.",you need a bath every day.
1157,you need a bath every day.,why?
1158,why?,because you don't want to smell bad.
1159,because you don't want to smell bad.,i don't smell bad.
1160,i don't smell bad.,that's what you think.
1161,that's what you think.,"if i smelled bad, i could smell me."
1162,"if i smelled bad, i could smell me.",i can smell you.
1163,i can smell you.,"i can smell you, too."
1164,"i can smell you, too.",that's my perfume.
1165,that's my perfume.,when can i wear perfume?
1166,something's wrong with my computer.,exactly what?
1167,exactly what?,all i get is a black screen.
1168,all i get is a black screen.,what's the matter?
1169,what's the matter?,"i think i know, because this happened before."
1170,"i think i know, because this happened before.",what happened before?
1171,what happened before?,my hard drive crashed.
1172,my hard drive crashed.,"oh, no. that's bad news."
1173,"oh, no. that's bad news.","it sure is, but i'm going to call hp first, just to make sure."
1174,"it sure is, but i'm going to call hp first, just to make sure.",will you lose all your files?
1175,will you lose all your files?,"no, i always back up my files."
1176,"no, i always back up my files.",you're smart.
1177,i called hp about my computer.,what did they say?
1178,what did they say?,they said i need a new hard drive.
1179,they said i need a new hard drive.,that's too bad. how much is a new one?
1180,that's too bad. how much is a new one?,"it's not too much, only about $85."
1181,"it's not too much, only about $85.",plus installation?
1182,plus installation?,"no, my hard drive is easy to remove and replace."
1183,"no, my hard drive is easy to remove and replace.",really?
1184,really?,"yes, it's just a couple of screws."
1185,"yes, it's just a couple of screws.",that's nice.
1186,that's nice.,it's a lot better than paying someone $60.
1187,it's a lot better than paying someone $60.,"if my hard drive crashes, i'll just call you."
1188,what's your email address?,it's bluedog123.
1189,it's bluedog123.,bluedog123. are you sure that's all?
1190,bluedog123. are you sure that's all?,yes.
1191,yes.,no. that's incomplete.
1192,no. that's incomplete.,what do you mean?
1193,what do you mean?,what's your mailing address?
1194,what's your mailing address?,"456 cherry drive, pasadena, ca 91170."
1195,"456 cherry drive, pasadena, ca 91170.",that's correct.
1196,that's correct.,so what's the problem?
1197,so what's the problem?,"bluedog123 is just the street. you have to give me the city, state, and zip code."
1198,"bluedog123 is just the street. you have to give me the city, state, and zip code.","oh, i get it. my email address is bluedog123@yahoo.com."
1199,i'm going to take a nap.,you should unplug the phone.
1200,you should unplug the phone.,that's a good idea.
1201,that's a good idea.,do you want me to wake you in an hour?
1202,do you want me to wake you in an hour?,"no, thanks. just let me sleep until i wake up."
1203,"no, thanks. just let me sleep until i wake up.",i'll start dinner at 6:00.
1204,i'll start dinner at 6:00.,okay. i think i'll be awake by then.
1205,okay. i think i'll be awake by then.,"if not, your nose will wake you up."
1206,"if not, your nose will wake you up.",you mean i will smell the food cooking?
1207,you mean i will smell the food cooking?,you might even dream about dinner.
1208,you might even dream about dinner.,i don't think i'm going to dream about anything. i'm really tired.
1209,i don't think i'm going to dream about anything. i'm really tired.,have a nice nap.
1210,that was a nice funeral.,"yes, dad, it was."
1211,"yes, dad, it was.",the son gave a nice speech about his father.
1212,the son gave a nice speech about his father.,"it was long, too."
1213,"it was long, too.",i think it was about 45 minutes long.
1214,i think it was about 45 minutes long.,but it went by fast. it was interesting.
1215,but it went by fast. it was interesting.,i liked it.
1216,i liked it.,"i'll give you a speech like that, too."
1217,"i'll give you a speech like that, too.",do you think anyone will come to my funeral?
1218,do you think anyone will come to my funeral?,of course.
1219,of course.,i think only the family will be there.
1220,i think only the family will be there.,"you have lots of friends. they will be there, too!"
1221,yikes! what was that noise?,i had to blow my nose.
1222,i had to blow my nose.,did you have to blow right next to the phone?
1223,did you have to blow right next to the phone?,did you hear that?
1224,did you hear that?,of course i heard that. i thought a plane had crashed into your house.
1225,of course i heard that. i thought a plane had crashed into your house.,it wasn't that loud.
1226,it wasn't that loud.,"i will blow my nose sometime for you, and you'll see."
1227,"i will blow my nose sometime for you, and you'll see.",okay. i'll take your word for it.
1228,okay. i'll take your word for it.,i thought you had an elephant in your house.
1229,i thought you had an elephant in your house.,you're funny.
1230,you're funny.,what did you say? i think i've gone deaf.
1231,what did you say? i think i've gone deaf.,i'm going into the bathroom to blow my nose. i'll be right back.
1232,i have lots of friends.,really? how many do you have?
1233,really? how many do you have?,"i don't know, maybe one hundred."
1234,"i don't know, maybe one hundred.",that is a lot of friends. do you have a best friend?
1235,that is a lot of friends. do you have a best friend?,of course. i have lots of best friends.
1236,of course. i have lots of best friends.,how many best friends do you have?
1237,how many best friends do you have?,i think about twenty-five.
1238,i think about twenty-five.,hmm. i have only one best friend.
1239,hmm. i have only one best friend.,i feel sorry for you.
1240,i feel sorry for you.,i have only a few friends.
1241,i have only a few friends.,you must be lonely. i will share my friends with you.
1242,you must be lonely. i will share my friends with you.,that's very nice of you.
1243,don't you ever cheat on me.,why would i do that?
1244,why would i do that?,because men like to cheat.
1245,because men like to cheat.,"some men do, but not me."
1246,"some men do, but not me.",i'm watching you.
1247,i'm watching you.,i'm an open book. watch me all you want.
1248,i'm an open book. watch me all you want.,"if i catch you, you'll be sorry."
1249,"if i catch you, you'll be sorry.","you won't catch me, because i love you. i'm not a cheater."
1250,"you won't catch me, because i love you. i'm not a cheater.",i will poke your eyes out. 
1251,i will poke your eyes out. ,i don't want any other woman.
1252,i don't want any other woman.,"i will chop your toes off, one by one."
1253,"i will chop your toes off, one by one.","honey, please. you're the only woman for me, forever. i swear it."
1254,i hate to go outside.,me too.
1255,me too.,why do you hate to go outside?
1256,why do you hate to go outside?,i meet too many jerks.
1257,i meet too many jerks.,i agree.
1258,i agree.,this city is full of jerks.
1259,this city is full of jerks.,rude people are everywhere.
1260,rude people are everywhere.,but what can you do?
1261,but what can you do?,you can yell at them.
1262,you can yell at them.,and they will yell back at you.
1263,and they will yell back at you.,yelling doesn't do any good.
1264,yelling doesn't do any good.,no. the best thing to do is just stay home.
1265,will you look at this form?,are you having problems with it?
1266,are you having problems with it?,i don't understand some things.
1267,i don't understand some things.,let me help you.
1268,let me help you.,"what does ""mi"" mean?"
1269,"what does ""mi"" mean?","""mi"" stands for middle initial."
1270,"""mi"" stands for middle initial.","what does ""mm/dd/yy"" mean?"
1271,"what does ""mm/dd/yy"" mean?",that means month/day/year. use numbers.
1272,that means month/day/year. use numbers.,i don't understand.
1273,i don't understand.,"for example, if your birth date is january 12, 1987, write 01/12/87."
1274,"for example, if your birth date is january 12, 1987, write 01/12/87.",oh. that's simple enough.
1275,oh. that's simple enough.,"always print clearly, and fill in the bubbles completely."
1276,let's go to the animal shelter.,what do you want to do?
1277,what do you want to do?,i want to get a puppy for my son.
1278,i want to get a puppy for my son.,that will make him so happy.
1279,that will make him so happy.,i'll get him one of those little dogs.
1280,i'll get him one of those little dogs.,one that won't grow up too big.
1281,one that won't grow up too big.,and eat too much.
1282,and eat too much.,do you know which one he would like?
1283,do you know which one he would like?,"oh, yes, i took him there yesterday. he showed me one that he really liked."
1284,"oh, yes, i took him there yesterday. he showed me one that he really liked.",i bet you had to drag him away.
1285,i bet you had to drag him away.,he wanted to take it home yesterday.
1286,he wanted to take it home yesterday.,i wonder what he'll name it.
1287,what's the weather like?,i don't know. i just woke up.
1288,i don't know. i just woke up.,why don't you look outside?
1289,why don't you look outside?,okay. it looks like rain.
1290,okay. it looks like rain.,why do you say that?
1291,why do you say that?,the sky is gray.
1292,the sky is gray.,is it raining right now?
1293,is it raining right now?,no.
1294,no.,how do you know?
1295,how do you know?,the street isn't wet.
1296,the street isn't wet.,i have to go shopping today.
1297,i have to go shopping today.,you'd better take an umbrella.
1298,i can't believe how hot it is.,it's not even noon yet.
1299,it's not even noon yet.,that means it will get hotter.
1300,that means it will get hotter.,i am dying from the heat.
1301,i am dying from the heat.,turn on the air conditioner.
1302,turn on the air conditioner.,it doesn't work.
1303,it doesn't work.,what happened?
1304,what happened?,i don't know.
1305,i don't know.,did you call the repairman?
1306,did you call the repairman?,of course.
1307,of course.,when is he coming?
1308,when is he coming?,he's busy. he said next week.
1309,i'll be glad when winter comes.,why is that?
1310,why is that?,because i love the snow.
1311,because i love the snow.,"yes, the snow is fun."
1312,"yes, the snow is fun.",last year we made a big snowman.
1313,last year we made a big snowman.,how big was it?
1314,how big was it?,it was seven feet tall.
1315,it was seven feet tall.,how long did it take?
1316,how long did it take?,it took us all day.
1317,it took us all day.,did you give him a nose?
1318,did you give him a nose?,of course. we gave him a big carrot for a nose.
1319,of course. we gave him a big carrot for a nose.,let me help you make one this year.
1320,i'm going to the bank.,what do you need to do?
1321,what do you need to do?,i need to withdraw some money.
1322,i need to withdraw some money.,how are you going to do that?
1323,how are you going to do that?,i'll just use the atm.
1324,i'll just use the atm.,what's that?
1325,what's that?,it's the automatic teller machine.
1326,it's the automatic teller machine.,it gives you money?
1327,it gives you money?,i just insert my debit card into the machine.
1328,i just insert my debit card into the machine.,and it gives you money?
1329,and it gives you money?,"well, it gives me money, but it's my own money."
1330,"well, it gives me money, but it's my own money.",oh. what good is that? i thought it gave you free money.
1331,did you put the blue bin out on the street?,"oh, no. i forgot."
1332,"oh, no. i forgot.","well, you'd better take it out front."
1333,"well, you'd better take it out front.",what time does the recycle truck come by?
1334,what time does the recycle truck come by?,"it usually gets here at noon on tuesday, which is tomorrow."
1335,"it usually gets here at noon on tuesday, which is tomorrow.",i'll just take it out to the street tomorrow morning.
1336,i'll just take it out to the street tomorrow morning.,"oh, no, you don't."
1337,"oh, no, you don't.",what do you mean?
1338,what do you mean?,every morning you get up late and rush off to work late.
1339,every morning you get up late and rush off to work late.,do you think i'll forget to do it?
1340,do you think i'll forget to do it?,"you'll remember to do it, but you won't have time to do it."
1341,"you'll remember to do it, but you won't have time to do it.","okay, i'll take it out front right now."
1342,are you ready?,ready for what?
1343,ready for what?,ready for the big switch.
1344,ready for the big switch.,what are you talking about?
1345,what are you talking about?,the nation is switching to digital tv.
1346,the nation is switching to digital tv.,oh. of course i'm ready.
1347,oh. of course i'm ready.,did you buy the converter?
1348,did you buy the converter?,"no, i don't need a converter because i bought a digital tv."
1349,"no, i don't need a converter because i bought a digital tv.",how much was that?
1350,how much was that?,it was only about $120 for a 13-inch screen.
1351,it was only about $120 for a 13-inch screen.,does it pick up any digital channels?
1352,does it pick up any digital channels?,"oh, yes. i get six korean channels but nothing in english!"
1353,people are funny.,they sure are.
1354,they sure are.,did you hear about the pilot?
1355,did you hear about the pilot?,the one that stole a small plane?
1356,the one that stole a small plane?,"yes, he stole a plane in canada and flew into the u.s."
1357,"yes, he stole a plane in canada and flew into the u.s.",did they catch him?
1358,did they catch him?,"yes. after two u.s. fighter jets followed him for an hour, he landed on a highway."
1359,"yes. after two u.s. fighter jets followed him for an hour, he landed on a highway.",did he crash?
1360,did he crash?,"no, he just landed the plane and walked to a restaurant."
1361,"no, he just landed the plane and walked to a restaurant.",did the cops find out why he flew into the u.s.?
1362,did the cops find out why he flew into the u.s.?,his life sucked. he was hoping a fighter jet would shoot him down.
1363,his life sucked. he was hoping a fighter jet would shoot him down.,poor guy.
1364,the police need our help finding a robber.,how do you know?
1365,how do you know?,the tv news is reporting a bank robbery.
1366,the tv news is reporting a bank robbery.,do they know what the robber looks like?
1367,do they know what the robber looks like?,"yes, he's 6 feet tall, 200 pounds, black hair, and about 30 years old."
1368,"yes, he's 6 feet tall, 200 pounds, black hair, and about 30 years old.",what race is he?
1369,what race is he?,they didn't say.
1370,they didn't say.,the tv news doesn't tell us the race anymore.
1371,the tv news doesn't tell us the race anymore.,of course not. that would be racist.
1372,of course not. that would be racist.,but how can we identify someone if we don't know their race?
1373,but how can we identify someone if we don't know their race?,don't ask me.
1374,don't ask me.,"then they also shouldn't tell us if the robber is male or female, because that is sexist."
1375,don't wipe your nose on your sleeve.,but i don't have a tissue.
1376,but i don't have a tissue.,then go find a tissue in the bathroom.
1377,then go find a tissue in the bathroom.,i didn't have time to get one from there.
1378,i didn't have time to get one from there.,your sleeves are not tissues.
1379,your sleeves are not tissues.,"but mom, all my friends use their sleeves."
1380,"but mom, all my friends use their sleeves.",that doesn't make it right.
1381,that doesn't make it right.,i saw dad wipe his nose on his sleeve yesterday.
